ManagedAreaName|AreaID|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|EarliestSampleDate|LastSampleDate|Median|SufficientData|Independent|tau|p|SenSlope|SenIntercept|ChiSquared|pChiSquared|ub|lb|Trend|Website|TrendIcon|TrendText
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Specific Conductivity|Bottom|186148|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|47.93|TRUE|TRUE|0.31404|0.00172|0.54976|46.01599|6.5796|0.832|0.87592|0.20498|1|1|1|Increasing trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Turbidity|Bottom|191003|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|6|TRUE|TRUE|-0.05654|0.60488|-0.09431|10.18864|5.0546|0.9285|0.21225|-0.42899|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Water Temperature|Bottom|204134|8|2019|2026|2019-09-12T09:45:00Z|2026-03-31T23:45:00Z|23.1|TRUE|TRUE|0.14274|0.25274|0.11803|23.52079|13.395|0.2683|0.26022|-0.07159|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|pH|Bottom|185428|8|2019|2026|2019-10-15T09:45:00Z|2026-03-31T23:45:00Z|8|TRUE|TRUE|-0.21067|0.02386|-0.01432|8.02373|17.5013|0.0939|-0.00122|-0.02666|-1|1|-1|Decreasing trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Dissolved Oxygen|Bottom|56853|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|6.4|TRUE|TRUE|0.125|0.73771|0.06067|6.36425|8.4699|0.6707|0.15865|-0.30334|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Dissolved Oxygen Saturation|Bottom|56928|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|90.7|TRUE|TRUE|0.02083|1|-0.24411|89.0056|9.2712|0.5969|3.91424|-4.00499|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Salinity|Bottom|60346|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|30.5|TRUE|TRUE|0|1|0.13123|29.87061|13.4545|0.2647|1.10294|-1.98187|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Specific Conductivity|Bottom|60346|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|46.91|TRUE|TRUE|0|1|0.17853|46.07897|13.4545|0.2647|1.52549|-2.72899|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Turbidity|Bottom|55980|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|3|TRUE|TRUE|-0.16129|1|-0.26271|11.20728|9.052|0.6171|2.86294|-3.11396|0|1|0|No detectable trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Water Temperature|Bottom|80801|5|2019|2023|2019-09-12T09:15:00Z|2023-07-25T08:15:00Z|24.1|TRUE|TRUE|0.37143|0.03412|0.37639|24.61929|15.7339|0.1513|0.82331|0.03071|1|1|1|Increasing trend
Alligator Harbor Aquatic Preserve|1|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|pH|Bottom|61868|5|2019|2023|2019-09-12T09:15:00Z|2023-07-03T10:45:00Z|8.1|TRUE|TRUE|0.19192|0.51824|0.0179|7.98428|14.2437|0.2198|0.07795|-0.10066|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Chlorophyll a, Uncorrected for Pheophytin|Bottom|518|1|2015|2015|2015-01-01T00:00:00Z|2015-01-06T09:15:00Z|28.55|FALSE|||||||||||0|2|Insufficient data
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|Bottom|661293|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|7.3|TRUE|TRUE|-0.10225|0.01773|-0.01084|7.54247|17.3096|0.099|-0.00185|-0.01912|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen Saturation|Bottom|665776|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|94.9|TRUE|TRUE|-0.03062|0.49272|-0.04926|96.88622|17.7827|0.0868|0.07247|-0.15976|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Salinity|Bottom|660145|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|22.3|TRUE|TRUE|0.00987|0.84553|0.00689|21.67311|7.8684|0.725|0.08587|-0.06311|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Specific Conductivity|Bottom|660231|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|35.38|TRUE|TRUE|0.00595|0.91645|0.00559|34.38028|7.5584|0.7522|0.11486|-0.09702|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Turbidity|Bottom|647066|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|10|TRUE|TRUE|0.05646|0.19967|0.06261|16.3399|13.3999|0.268|0.14865|-0.04386|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Water Temperature|Bottom|687997|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|23.3|TRUE|TRUE|0.16091|0.00016|0.0324|22.85969|6.2498|0.8562|0.04881|0.01643|1|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|pH|Bottom|645135|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|8|TRUE|TRUE|-0.09784|0.02312|-0.0027|8.05528|7.459|0.7608|-0.00041|-0.0057|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Dissolved Oxygen|Bottom|705983|32|1995|2026|1995-05-01T00:00:00Z|2026-05-21T02:00:00Z|6.8|TRUE|TRUE|-0.28071|0|-0.05834|7.62579|5.4061|0.9099|-0.04215|-0.07092|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Dissolved Oxygen Saturation|Bottom|701762|32|1995|2026|1995-06-01T13:30:00Z|2026-05-21T02:00:00Z|84.8|TRUE|TRUE|-0.24629|0|-0.62275|92.00139|6.0727|0.8685|-0.42865|-0.77734|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Salinity|Bottom|792228|32|1995|2026|1995-05-01T00:00:00Z|2026-05-21T02:00:00Z|10.1|TRUE|TRUE|0.05339|0.16922|0.02916|9.23945|9.2891|0.5952|0.0869|-0.01575|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Specific Conductivity|Bottom|792357|32|1995|2026|1995-05-01T00:00:00Z|2026-05-21T02:00:00Z|17.12|TRUE|TRUE|0.05416|0.1629|0.05187|15.57113|9.5557|0.5707|0.13565|-0.02498|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Turbidity|Bottom|680779|28|1997|2026|1997-11-05T11:30:00Z|2026-05-21T02:00:00Z|13|TRUE|TRUE|-0.18869|0|-0.18863|19.32679|12.1277|0.3541|-0.11136|-0.26515|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|Water Temperature|Bottom|807299|32|1995|2026|1995-05-01T00:00:00Z|2026-05-21T02:00:00Z|24.1|TRUE|TRUE|0.15548|0.00003|0.02419|23.02013|4.2199|0.963|0.0385|0.01318|1|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|pH|Bottom|762842|32|1995|2026|1995-05-01T00:00:00Z|2026-05-21T02:00:00Z|7.6|TRUE|TRUE|-0.10352|0.00516|-0.00557|7.63081|7.0873|0.792|-0.00173|-0.00912|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Dissolved Oxygen|Bottom|754657|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|6.8|TRUE|TRUE|-0.10414|0.00483|-0.0203|7.11367|4.8817|0.9368|-0.00659|-0.03261|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Dissolved Oxygen Saturation|Bottom|755867|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|84.6|TRUE|TRUE|-0.05829|0.1076|-0.14721|86.36683|7.7935|0.7317|0.02384|-0.32155|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Salinity|Bottom|800886|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|7.6|TRUE|TRUE|0.06982|0.06657|0.04219|6.97308|8.6209|0.6568|0.083|-0.00334|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Specific Conductivity|Bottom|801369|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|13.27|TRUE|TRUE|0.06679|0.07968|0.06556|12.34163|9.2186|0.6017|0.13871|-0.00612|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Turbidity|Bottom|744747|31|1996|2026|1996-12-16T14:00:00Z|2026-05-05T07:45:00Z|9|TRUE|TRUE|-0.14307|0.0002|-0.10196|11.3137|13.3222|0.2728|-0.04608|-0.16189|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|Water Temperature|Bottom|810119|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|24.1|TRUE|TRUE|0.19799|0|0.03689|22.8697|4.5938|0.9492|0.04952|0.02217|1|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|pH|Bottom|755459|32|1995|2026|1995-04-17T10:30:00Z|2026-05-05T07:45:00Z|7.5|TRUE|TRUE|-0.08848|0.01647|-0.00503|7.57696|3.0443|0.9901|-0.00083|-0.00929|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Dissolved Oxygen|Bottom|298361|11|2016|2026|2016-12-20T13:00:00Z|2026-05-05T13:00:00Z|6.4|TRUE|TRUE|-0.14717|0.04911|-0.04686|6.77654|17.5676|0.0922|-0.00072|-0.07554|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Dissolved Oxygen Saturation|Bottom|298897|11|2016|2026|2016-12-20T13:00:00Z|2026-05-05T13:00:00Z|75.2|TRUE|TRUE|-0.14717|0.04306|-0.47732|73.8516|17.7937|0.0865|-0.03699|-0.82071|-1|1|-1|Decreasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Salinity|Bottom|312951|11|2016|2026|2016-12-20T13:00:00Z|2026-04-23T17:15:00Z|0.1|TRUE|TRUE|0.28073|0.00021|0.01567|0.06429|7.274|0.7765|0.03194|0.00596|2|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Specific Conductivity|Bottom|312951|11|2016|2026|2016-12-20T13:00:00Z|2026-04-23T17:15:00Z|0.15|TRUE|TRUE|0.27286|0.00033|0.02472|0.12561|5.717|0.8916|0.0688|0.00979|2|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Turbidity|Bottom|284580|11|2016|2026|2016-12-20T13:00:00Z|2026-05-05T13:00:00Z|11|TRUE|TRUE|0.00162|1|-0.01478|12.1475|2.5429|0.9955|0.35972|-0.50394|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|Water Temperature|Bottom|315207|11|2016|2026|2016-12-20T13:00:00Z|2026-04-23T17:15:00Z|22.5|TRUE|TRUE|0.03884|0.69432|0.00932|23.38049|14.5749|0.2028|0.08883|-0.07172|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|pH|Bottom|306501|11|2016|2026|2016-12-20T13:00:00Z|2026-05-05T13:00:00Z|7.1|TRUE|TRUE|-0.00439|0.93374|-0.00099|7.10082|9.5672|0.5697|0.01128|-0.01263|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Dissolved Oxygen|Bottom|311516|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|6.9|TRUE|TRUE|-0.02875|0.76048|-0.00666|6.9411|14.0215|0.2318|0.03691|-0.03583|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Dissolved Oxygen Saturation|Bottom|314972|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|94.2|TRUE|TRUE|0.06043|0.39027|0.17064|93.03813|11.7177|0.3852|0.48298|-0.16723|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Salinity|Bottom|312976|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|27.3|TRUE|TRUE|0.1925|0.00996|0.36078|25.15077|3.421|0.9839|0.70289|0.07375|1|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Specific Conductivity|Bottom|312978|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|42.46|TRUE|TRUE|0.19639|0.00847|0.50652|39.49506|3.512|0.9821|0.98902|0.10514|1|1|1|Increasing trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Turbidity|Bottom|301927|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|7|TRUE|TRUE|-0.07122|0.35545|-0.10749|11.09711|3.4246|0.9838|0.19697|-0.34432|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|Water Temperature|Bottom|317938|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|22.9|TRUE|TRUE|-0.01949|0.80303|-0.01838|23.7589|12.9525|0.2964|0.05475|-0.09263|0|1|0|No detectable trend
Apalachicola Bay Aquatic Preserve|2|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|pH|Bottom|312076|11|2016|2026|2016-12-20T10:00:00Z|2026-05-05T10:15:00Z|8.1|TRUE|TRUE|-0.30361|0.00005|-0.01367|8.13111|7.6446|0.7447|-0.00871|-0.01963|-1|1|-1|Decreasing trend
Apalachicola National Estuarine Research Reserve|3|5|National Data Buoy Center|APCF1|Water Temperature|Surface|1453052|22|2005|2026|2005-04-07T11:00:00Z|2026-03-31T23:54:00Z|23.3|TRUE|TRUE|0.12613|0.01227|0.04311|22.93392|3.9967|0.97|0.08157|0.00696|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Dissolved Oxygen|Bottom|193663|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|6.7|TRUE|TRUE|0.25429|0.01568|0.11612|6.06638|3.324|0.9857|0.16749|0.00983|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Dissolved Oxygen Saturation|Bottom|193663|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|77.8|TRUE|TRUE|0.34571|0.00091|1.40896|70.67579|5.1491|0.9237|1.98958|0.46543|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Salinity|Bottom|196215|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|0.1|TRUE|TRUE|0.41143|0.00005|0.01059|0.06524|4.265|0.9615|0.03604|0.00164|2|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Specific Conductivity|Bottom|196215|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|0.12|TRUE|TRUE|0.36571|0.0004|0.01055|0.07999|8.0141|0.712|0.04346|0.00341|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Turbidity|Bottom|196208|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|11|TRUE|TRUE|-0.2|0.06368|-0.48891|12.54957|6.4467|0.842|0.03617|-1.06029|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|Water Temperature|Bottom|196215|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|22.4|TRUE|TRUE|0.20571|0.06368|0.18|21.87441|10.1718|0.515|0.36899|-0.01858|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|pH|Bottom|194397|7|2020|2026|2020-08-21T09:45:00Z|2026-05-08T09:00:00Z|7.1|TRUE|TRUE|0.21143|0.0376|0.02863|6.99803|7.8085|0.7303|0.05308|0.00191|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Dissolved Oxygen|Bottom|659305|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|7.1|TRUE|TRUE|0.11917|0.00492|0.01239|7.08133|28.4316|0.0028|0.02452|0.00389|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Dissolved Oxygen Saturation|Bottom|660833|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|94.3|TRUE|TRUE|0.18836|0.00001|0.22089|91.80283|15.4773|0.1617|0.31971|0.12136|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Salinity|Bottom|675449|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|22.5|TRUE|TRUE|0.03356|0.45491|0.03049|21.69046|8.5649|0.662|0.11474|-0.0578|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Specific Conductivity|Bottom|675467|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|35.76|TRUE|TRUE|0.02995|0.50807|0.04454|34.45814|8.75|0.645|0.16502|-0.07542|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Turbidity|Bottom|672498|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|8|TRUE|TRUE|-0.02792|0.53524|-0.02603|12.76698|17.3012|0.0993|0.05266|-0.10637|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|Water Temperature|Bottom|714443|25|2002|2026|2002-01-01T00:00:00Z|2026-05-05T08:45:00Z|23.4|TRUE|TRUE|0.15657|0.00019|0.03136|22.94862|4.1424|0.9656|0.05107|0.01625|1|1|1|Increasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|pH|Bottom|656837|25|2002|2026|2002-01-08T11:30:00Z|2026-05-05T08:45:00Z|8|TRUE|TRUE|0.01536|0.72186|0.00051|8.00714|17.1575|0.1033|0.00287|-0.00161|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Chlorophyll a, Uncorrected for Pheophytin|Bottom|518|1|2015|2015|2015-01-01T00:00:00Z|2015-01-06T09:15:00Z|28.55|FALSE|||||||||||0|2|Insufficient data
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen|Bottom|661293|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|7.3|TRUE|TRUE|-0.10225|0.01773|-0.01084|7.54247|17.3096|0.099|-0.00185|-0.01912|-1|1|-1|Decreasing trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Dissolved Oxygen Saturation|Bottom|665776|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|94.9|TRUE|TRUE|-0.03062|0.49272|-0.04926|96.88622|17.7827|0.0868|0.07247|-0.15976|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Salinity|Bottom|660145|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|22.3|TRUE|TRUE|0.00987|0.84553|0.00689|21.67311|7.8684|0.725|0.08587|-0.06311|0|1|0|No detectable trend
Apalachicola National Estuarine Research Reserve|3|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|Specific Conductivity|Bottom|660231|25|2002|2026|2002-01-01T00:00:00Z|2026-05-21T02:15:00Z|35.38|TRUE|TRUE|0.00595|0.91645|0.00559|34.38028|7.5584|0.7522|0.11486|-0.09702|0|1|0|No detectable trend
