ManagedAreaName|AreaID|ProgramID|ProgramName|ProgramLocationID|SampleDate|SpeciesGroup1|ParameterName|Year|Month|SpeciesRichness
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2020-10-06T00:00:00Z|Marsh|Species Richness|2020|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM1-1|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2014-11-03T00:00:00Z|Marsh|Species Richness|2014|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2015-04-06T00:00:00Z|Marsh|Species Richness|2015|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2016-04-04T00:00:00Z|Marsh|Species Richness|2016|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2016-10-03T00:00:00Z|Marsh|Species Richness|2016|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2017-04-17T00:00:00Z|Marsh|Species Richness|2017|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2019-04-29T00:00:00Z|Marsh|Species Richness|2019|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2020-10-06T00:00:00Z|Marsh|Species Richness|2020|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM2-2|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2014-11-03T00:00:00Z|Marsh|Species Richness|2014|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2015-04-06T00:00:00Z|Marsh|Species Richness|2015|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2016-04-04T00:00:00Z|Marsh|Species Richness|2016|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2016-10-03T00:00:00Z|Marsh|Species Richness|2016|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2017-04-17T00:00:00Z|Marsh|Species Richness|2017|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|LSM3-3|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2014-11-04T00:00:00Z|Marsh|Species Richness|2014|11|5
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2014-11-04T00:00:00Z|Marsh succulents|Species Richness|2014|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2015-04-07T00:00:00Z|Marsh|Species Richness|2015|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2015-04-07T00:00:00Z|Marsh succulents|Species Richness|2015|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2015-10-12T00:00:00Z|Marsh succulents|Species Richness|2015|10|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2016-04-05T00:00:00Z|Marsh|Species Richness|2016|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2016-04-05T00:00:00Z|Marsh succulents|Species Richness|2016|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2016-10-04T00:00:00Z|Marsh|Species Richness|2016|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2016-10-04T00:00:00Z|Marsh succulents|Species Richness|2016|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2017-04-18T00:00:00Z|Marsh|Species Richness|2017|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2017-04-18T00:00:00Z|Marsh succulents|Species Richness|2017|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2017-10-30T00:00:00Z|Marsh succulents|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2018-04-23T00:00:00Z|Marsh succulents|Species Richness|2018|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2018-11-27T00:00:00Z|Marsh|Species Richness|2018|11|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2018-11-27T00:00:00Z|Marsh succulents|Species Richness|2018|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2019-04-29T00:00:00Z|Marsh|Species Richness|2019|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2019-04-29T00:00:00Z|Marsh succulents|Species Richness|2019|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2019-11-04T00:00:00Z|Marsh succulents|Species Richness|2019|11|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2020-05-13T00:00:00Z|Marsh succulents|Species Richness|2020|5|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2020-10-06T00:00:00Z|Marsh|Species Richness|2020|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2020-10-06T00:00:00Z|Marsh succulents|Species Richness|2020|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2021-03-29T00:00:00Z|Marsh succulents|Species Richness|2021|3|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2022-04-25T00:00:00Z|Marsh|Species Richness|2022|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC1-1|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-1|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2014-11-04T00:00:00Z|Marsh|Species Richness|2014|11|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2014-11-04T00:00:00Z|Marsh succulents|Species Richness|2014|11|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2015-04-07T00:00:00Z|Marsh|Species Richness|2015|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2015-04-07T00:00:00Z|Marsh succulents|Species Richness|2015|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2015-10-12T00:00:00Z|Marsh succulents|Species Richness|2015|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2016-04-05T00:00:00Z|Marsh|Species Richness|2016|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2016-04-05T00:00:00Z|Marsh succulents|Species Richness|2016|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2016-10-04T00:00:00Z|Marsh|Species Richness|2016|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2016-10-04T00:00:00Z|Marsh succulents|Species Richness|2016|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2017-04-18T00:00:00Z|Marsh|Species Richness|2017|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2017-04-18T00:00:00Z|Marsh succulents|Species Richness|2017|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2017-10-30T00:00:00Z|Marsh succulents|Species Richness|2017|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2018-04-23T00:00:00Z|Marsh succulents|Species Richness|2018|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2018-11-27T00:00:00Z|Marsh|Species Richness|2018|11|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2018-11-27T00:00:00Z|Marsh succulents|Species Richness|2018|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2019-04-29T00:00:00Z|Marsh|Species Richness|2019|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2019-04-29T00:00:00Z|Marsh succulents|Species Richness|2019|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2019-11-04T00:00:00Z|Marsh succulents|Species Richness|2019|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2020-05-13T00:00:00Z|Marsh succulents|Species Richness|2020|5|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2020-10-06T00:00:00Z|Marsh|Species Richness|2020|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2020-10-06T00:00:00Z|Marsh succulents|Species Richness|2020|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2021-03-29T00:00:00Z|Marsh succulents|Species Richness|2021|3|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2022-04-25T00:00:00Z|Marsh|Species Richness|2022|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2022-04-25T00:00:00Z|Marsh succulents|Species Richness|2022|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-2|2023-04-19T00:00:00Z|Marsh succulents|Species Richness|2023|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC2-7|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-1|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-2|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2014-11-04T00:00:00Z|Marsh|Species Richness|2014|11|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2014-11-04T00:00:00Z|Marsh succulents|Species Richness|2014|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2015-04-07T00:00:00Z|Marsh|Species Richness|2015|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2015-04-07T00:00:00Z|Marsh succulents|Species Richness|2015|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2015-10-12T00:00:00Z|Marsh|Species Richness|2015|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2015-10-12T00:00:00Z|Marsh succulents|Species Richness|2015|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2016-04-05T00:00:00Z|Marsh|Species Richness|2016|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2016-04-05T00:00:00Z|Marsh succulents|Species Richness|2016|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2016-10-04T00:00:00Z|Marsh|Species Richness|2016|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2016-10-04T00:00:00Z|Marsh succulents|Species Richness|2016|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2017-04-18T00:00:00Z|Marsh|Species Richness|2017|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2017-04-18T00:00:00Z|Marsh succulents|Species Richness|2017|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2017-10-30T00:00:00Z|Marsh|Species Richness|2017|10|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2017-10-30T00:00:00Z|Marsh succulents|Species Richness|2017|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2018-04-23T00:00:00Z|Marsh|Species Richness|2018|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2018-04-23T00:00:00Z|Marsh succulents|Species Richness|2018|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2018-11-27T00:00:00Z|Marsh|Species Richness|2018|11|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2018-11-27T00:00:00Z|Marsh succulents|Species Richness|2018|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2019-04-29T00:00:00Z|Marsh|Species Richness|2019|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2019-04-29T00:00:00Z|Marsh succulents|Species Richness|2019|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2019-11-04T00:00:00Z|Marsh|Species Richness|2019|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2019-11-04T00:00:00Z|Marsh succulents|Species Richness|2019|11|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2020-05-13T00:00:00Z|Marsh|Species Richness|2020|5|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2020-05-13T00:00:00Z|Marsh succulents|Species Richness|2020|5|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2020-10-06T00:00:00Z|Marsh|Species Richness|2020|10|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2020-10-06T00:00:00Z|Marsh succulents|Species Richness|2020|10|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2021-03-29T00:00:00Z|Marsh|Species Richness|2021|3|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2021-03-29T00:00:00Z|Marsh succulents|Species Richness|2021|3|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2022-04-25T00:00:00Z|Marsh|Species Richness|2022|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2022-04-25T00:00:00Z|Marsh succulents|Species Richness|2022|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2023-04-19T00:00:00Z|Marsh|Species Richness|2023|4|4
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|PC3-3|2023-04-19T00:00:00Z|Marsh succulents|Species Richness|2023|4|3
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-1|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-1|2023-04-20T00:00:00Z|Marsh|Species Richness|2023|4|2
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-2|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-2|2022-04-26T00:00:00Z|Marsh succulents|Species Richness|2022|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-2|2023-04-20T00:00:00Z|Marsh|Species Richness|2023|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-2|2023-04-20T00:00:00Z|Marsh succulents|Species Richness|2023|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-3|2022-04-26T00:00:00Z|Marsh|Species Richness|2022|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-3|2023-04-20T00:00:00Z|Marsh|Species Richness|2023|4|1
Apalachicola Bay Aquatic Preserve|2|5009|Apalachicola Emergent Marsh Vegetation Monitoring|U41-3|2023-04-20T00:00:00Z|Marsh succulents|Species Richness|2023|4|1
