AreaID|ManagedAreaName|Species|ParameterName|N_Programs|Programs|ProgramIDs|N_Data|N_Years|EarliestYear|LatestYear|SufficientData|LME_Intercept|LME_Slope|p|StatisticalTrend|years
4|Banana River Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|0|0|||FALSE||||Insufficient data to calculate trend|
4|Banana River Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|4903|27|1997|2023|TRUE|34.8236|-1.4228|0|Significantly decreasing trend|1997 - 2023
4|Banana River Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|14763|27|1997|2023|TRUE|0.5891|-0.0189|0.0044|Significantly decreasing trend|1997 - 2023
4|Banana River Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|4905|27|1997|2023|TRUE|8.5313|-0.3964|0.0002|Significantly decreasing trend|1997 - 2023
4|Banana River Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|4921|27|1997|2023|TRUE|0.0911|-0.0027|0.0854|No significant trend|1997 - 2023
4|Banana River Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|4921|27|1997|2023|TRUE||||Model did not fit the available data|1997 - 2023
4|Banana River Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|5156|30|1994|2023|TRUE|41.1181|-1.6749|0|Significantly decreasing trend|1994 - 2023
4|Banana River Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|0|0|||FALSE||||Insufficient data to calculate trend|
5|Big Bend Seagrasses Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|2744|23|2000|2023|TRUE|-5.4681|1.1939|0|Significantly increasing trend|2000 - 2023
5|Big Bend Seagrasses Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|2198|23|2000|2023|TRUE|23.1125|-0.3273|0.0095|Significantly decreasing trend|2000 - 2023
5|Big Bend Seagrasses Aquatic Preserve|Halophila engelmannii|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|788|23|2000|2023|TRUE|16.7026|-0.0238|0.8681|No significant trend|2000 - 2023
5|Big Bend Seagrasses Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring|560|293|19|2004|2023|TRUE||||Model did not fit the available data|2004 - 2023
5|Big Bend Seagrasses Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|80|14|2001|2022|TRUE|24.1358|-0.1496|0.788|No significant trend|2001 - 2022
5|Big Bend Seagrasses Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|4807|23|2000|2023|TRUE|34.9115|-0.3838|0.0015|Significantly decreasing trend|2000 - 2023
5|Big Bend Seagrasses Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|2|Big Bend Seagrasses & Nature Coast Aquatic Preserves - Seagrass Monitoring, Northern Big Bend Seagrass Monitoring|559, 560|10632|23|2000|2023|TRUE|40.2277|-0.3547|0|Significantly decreasing trend|2000 - 2023
6|Biscayne Bay Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|2|Miami-Dade County DERM Benthic Habitat Monitoring Program, The South Florida Fisheries Habitat Assessment Program (FHAP)|4018, 4049|1794|15|2008|2022|TRUE|-0.2046|0.0205|0.0763|No significant trend|2008 - 2022
6|Biscayne Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|10925|24|1999|2022|TRUE|11.4976|-0.3587|0|Significantly decreasing trend|1999 - 2022
6|Biscayne Bay Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Loss Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|12593|24|1999|2022|TRUE|9.6354|-0.3126|0|Significantly decreasing trend|1999 - 2022
6|Biscayne Bay Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Loss Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|37934|23|2000|2022|TRUE|0.6029|-0.0243|0.0181|Significantly decreasing trend|2000 - 2022
6|Biscayne Bay Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|9287|18|2005|2022|TRUE||||Model did not fit the available data|2005 - 2022
6|Biscayne Bay Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Loss Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|12516|24|1999|2022|TRUE|20.7363|-0.6512|0|Significantly decreasing trend|1999 - 2022
6|Biscayne Bay Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Loss Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|12812|24|1999|2022|TRUE|46.986|-1.4937|0|Significantly decreasing trend|1999 - 2022
6|Biscayne Bay Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|9041|24|1999|2022|TRUE|51.9526|-0.2532|0.2116|No significant trend|1999 - 2022
6|Biscayne Bay Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|4|Miami-Dade County DERM Benthic Habitat Monitoring Program, North Biscayne Bay Seagrass Loss Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049, 5027|10727|18|2005|2022|TRUE|19.0958|0.6336|0.0023|Significantly increasing trend|2005 - 2022
8|Boca Ciega Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|20|3|2020|2022|FALSE||||Insufficient data to calculate trend|
8|Boca Ciega Bay Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|1228|24|1998|2022|TRUE|47.3697|-0.1596|0.3646|No significant trend|1998 - 2022
8|Boca Ciega Bay Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|351|23|1998|2022|TRUE||||Model did not fit the available data|1998 - 2022
8|Boca Ciega Bay Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|10|4|2003|2022|FALSE||||Insufficient data to calculate trend|
8|Boca Ciega Bay Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|2|Tampa Bay Seagrass Monitoring, Western Pinellas County Seagrass Monitoring|564, 565|933|24|1998|2022|TRUE|51.2142|-0.4343|0.1114|No significant trend|1998 - 2022
8|Boca Ciega Bay Aquatic Preserve|Halophila, unk.|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|1|1|2022|2022|FALSE||||Insufficient data to calculate trend|
9|Cape Haze Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|1|1|2009|2009|FALSE||||Insufficient data to calculate trend|
9|Cape Haze Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|98|17|2003|2022|TRUE|-4.7647|0.8474|0.1165|No significant trend|2003 - 2022
9|Cape Haze Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|386|24|1998|2022|TRUE|22.1939|-0.3554|0.4049|No significant trend|1998 - 2022
9|Cape Haze Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|116|22|1998|2022|TRUE||||Model did not fit the available data|1998 - 2022
9|Cape Haze Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|86|21|1998|2022|TRUE|25.6564|0.2038|0.8444|No significant trend|1998 - 2022
9|Cape Haze Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|274|24|1998|2022|TRUE|21.1932|0.4478|0.1491|No significant trend|1998 - 2022
9|Cape Haze Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|597|20|1998|2022|TRUE|28.7761|-0.2341|0.6044|No significant trend|1998 - 2022
11|Cockroach Bay Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|1|1|2021|2021|FALSE||||Insufficient data to calculate trend|
11|Cockroach Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|82|1|2021|2021|FALSE||||Insufficient data to calculate trend|
11|Cockroach Bay Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|502|15|2000|2022|TRUE|23.3009|0.1958|0.3861|No significant trend|2000 - 2022
11|Cockroach Bay Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|342|15|2000|2022|TRUE||||Model did not fit the available data|2000 - 2022
11|Cockroach Bay Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|322|15|2000|2022|TRUE|26.9683|1.4524|0.1027|No significant trend|2000 - 2022
11|Cockroach Bay Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|404|15|2000|2022|TRUE|14.5004|0.3092|0.1919|No significant trend|2000 - 2022
11|Cockroach Bay Aquatic Preserve|Halophila, unk.|Median percent cover (from BB scores)|1|Tampa Bay Seagrass Monitoring|565|5|2|2021|2022|FALSE||||Insufficient data to calculate trend|
14|Estero Bay Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|20|14|2002|2022|TRUE|9.0354|-0.2507|0.3843|No significant trend|2002 - 2022
14|Estero Bay Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|391|21|2002|2022|TRUE|18.6207|-0.2207|0.4153|No significant trend|2002 - 2022
14|Estero Bay Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|744|21|2002|2022|TRUE|35.8422|-0.7484|0.0042|Significantly decreasing trend|2002 - 2022
14|Estero Bay Aquatic Preserve|Halophila decipiens|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|19|8|2002|2018|TRUE|19.9126|-0.1586|0.81|No significant trend|2002 - 2018
14|Estero Bay Aquatic Preserve|Halophila engelmannii|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|15|11|2002|2022|TRUE||||Model did not fit the available data|2002 - 2022
14|Estero Bay Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|98|21|2002|2022|TRUE||||Model did not fit the available data|2002 - 2022
14|Estero Bay Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|15|13|2003|2021|TRUE|26.9391|-0.9721|0.3518|No significant trend|2003 - 2021
14|Estero Bay Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|266|21|2002|2022|TRUE|25.7821|-0.68|0.027|Significantly decreasing trend|2002 - 2022
14|Estero Bay Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|760|17|2006|2022|TRUE|49.511|-1.3725|0.0183|Significantly decreasing trend|2006 - 2022
14|Estero Bay Aquatic Preserve|Halophila, unk.|Median percent cover (from BB scores)|1|Estero Bay Seagrass Monitoring|571|8|5|2003|2015|TRUE||||Model did not fit the available data|2003 - 2015
15|Florida Keys National Marine Sanctuary|Attached algae|Median percent cover (from BB scores)|2|Miami-Dade County DERM Benthic Habitat Monitoring Program, The South Florida Fisheries Habitat Assessment Program (FHAP)|4018, 4049|8536|16|2008|2023|TRUE|0.0777|-0.0026|0.2442|No significant trend|2008 - 2023
15|Florida Keys National Marine Sanctuary|Drift algae|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|16913|25|1999|2023|TRUE|9.4187|-0.2526|0|Significantly decreasing trend|1999 - 2023
15|Florida Keys National Marine Sanctuary|Halodule wrightii|Median percent cover (from BB scores)|4|Florida Keys National Marine Sanctuary Seagrass Monitoring Project, Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|296, 965, 4018, 4049|18263|28|1996|2023|TRUE|7.3737|-0.2913|0.0001|Significantly decreasing trend|1996 - 2023
15|Florida Keys National Marine Sanctuary|Halophila spp.|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|45524|19|2005|2023|TRUE|0.0717|-0.0021|0.3989|No significant trend|2005 - 2023
15|Florida Keys National Marine Sanctuary|Ruppia maritima|Median percent cover (from BB scores)|2|South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4049|16444|18|2005|2023|TRUE|-0.044|0.0032|0.122|No significant trend|2005 - 2023
15|Florida Keys National Marine Sanctuary|Syringodium filiforme|Median percent cover (from BB scores)|4|Florida Keys National Marine Sanctuary Seagrass Monitoring Project, Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|296, 965, 4018, 4049|18238|28|1996|2023|TRUE|5.1448|-0.1171|0.0121|Significantly decreasing trend|1996 - 2023
15|Florida Keys National Marine Sanctuary|Thalassia testudinum|Median percent cover (from BB scores)|4|Florida Keys National Marine Sanctuary Seagrass Monitoring Project, Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|296, 965, 4018, 4049|18369|28|1996|2023|TRUE|44.261|-1.499|0|Significantly decreasing trend|1996 - 2023
15|Florida Keys National Marine Sanctuary|Total SAV|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|15571|25|1999|2023|TRUE|32.1241|0.1829|0.2809|No significant trend|1999 - 2023
15|Florida Keys National Marine Sanctuary|Total seagrass|Median percent cover (from BB scores)|3|Miami-Dade County DERM Benthic Habitat Monitoring Program, South Florida Seagrass Fish and Invertebrate Assessment Network, The South Florida Fisheries Habitat Assessment Program (FHAP)|965, 4018, 4049|15108|19|2005|2023|TRUE|16.0572|0.2875|0.005|Significantly increasing trend|2005 - 2023
17|Fort Pickens State Park Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Northwest Florida Aquatic Preserve Seagrass Survey|4065|1003|8|2016|2023|TRUE|88.9105|-1.6512|0.0014|Significantly decreasing trend|2016 - 2023
17|Fort Pickens State Park Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Northwest Florida Aquatic Preserve Seagrass Survey|4065|111|8|2016|2023|TRUE||||Model did not fit the available data|2016 - 2023
17|Fort Pickens State Park Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Northwest Florida Aquatic Preserve Seagrass Survey|4065|597|8|2016|2023|TRUE|5.4966|1.6329|0.0189|Significantly increasing trend|2016 - 2023
17|Fort Pickens State Park Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|Northwest Florida Aquatic Preserve Seagrass Survey|4065|1197|8|2016|2023|TRUE|103.7589|-1.7207|0.0293|Significantly decreasing trend|2016 - 2023
17|Fort Pickens State Park Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Northwest Florida Aquatic Preserve Seagrass Survey|4065|1084|8|2016|2023|TRUE|87.9892|-0.9568|0.0755|No significant trend|2016 - 2023
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Attached algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|24|8|2007|2022|TRUE|-0.7445|0.2839|0.3168|No significant trend|2007 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|686|23|1999|2022|TRUE|13.3503|0.0867|0.771|No significant trend|1999 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|2163|25|1998|2022|TRUE|19.3481|-0.0171|0.8312|No significant trend|1998 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Halophila engelmannii|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|2|2|2011|2014|FALSE||||Insufficient data to calculate trend|
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|No grass In Quadrat|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|594|25|1998|2022|TRUE||||Model did not fit the available data|1998 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|40|10|1998|2019|TRUE|4.2619|-0.0393|0.7955|No significant trend|1998 - 2019
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|239|25|1998|2022|TRUE|44.8289|-0.1486|0.8038|No significant trend|1998 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|989|25|1998|2022|TRUE|30.3553|-0.0836|0.6725|No significant trend|1998 - 2022
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Charlotte Harbor Seagrass Monitoring|570|3081|21|1998|2022|TRUE|22.098|0.0088|0.9145|No significant trend|1998 - 2022
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|0|0|||FALSE||||Insufficient data to calculate trend|
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|15335|27|1997|2023|TRUE|33.9584|-1.3749|0|Significantly decreasing trend|1997 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|46085|27|1997|2023|TRUE|0.5667|-0.0076|0.3586|No significant trend|1997 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|15370|27|1997|2023|TRUE|0.2582|-0.0123|0.1028|No significant trend|1997 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|15352|27|1997|2023|TRUE|5.9004|-0.2544|0.0045|Significantly decreasing trend|1997 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Thalassia testudinum|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|15371|27|1997|2023|TRUE|1.8113|-0.0715|0.0979|No significant trend|1997 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Total SAV|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|16486|30|1994|2023|TRUE|41.8892|-1.6639|0|Significantly decreasing trend|1994 - 2023
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Total seagrass|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|0|0|||FALSE||||Insufficient data to calculate trend|
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Drift algae|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|0|0|||FALSE||||Insufficient data to calculate trend|
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Halodule wrightii|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|6103|26|1998|2023|TRUE|30.2601|-0.9574|0.0005|Significantly decreasing trend|1998 - 2023
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Halophila spp.|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|18353|26|1998|2023|TRUE|0.0351|0.0166|0.0307|Significantly increasing trend|1998 - 2023
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Ruppia maritima|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|6122|26|1998|2023|TRUE|0.1353|-0.0054|0.1202|No significant trend|1998 - 2023
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Syringodium filiforme|Median percent cover (from BB scores)|1|Seagrass (SJRWMD)|3013|6107|26|1998|2023|TRUE|16.146|-0.5949|0.042|Significantly decreasing trend|1998 - 2023
